plot_id,cum_slc_2004,cum_slc_2005,cum_slc_2006,cum_slc_2007,cum_slc_2008,cum_slc_2009,cum_slc_2010,cum_slc_2011
ANN01,505,445,1012,1069,1328,1604,1260,2700
ANN02,184,133,472,389,480,657,566,394
ANN03,950,1274,1273,1058,757,946,1468,4684
ANN04,66,89,138,542,576,876,542,272
ANN05,685,455,1128,622,472,506,269,787
ANN06,101,1167,2,649,626,506,437,540
ANN07,4,131,24,69,55,73,80,112
ANN08,31,394,0,270,192,291,88,166
ANN09,43,69,162,178,269,223,179,159
ANN10,2,11,52,112,125,120,322,166
ANN11,1,0,0,2,32,42,106,19
ANN12,19,13,365,409,376,403,345,1842
ANN13,213,214,351,132,68,147,117,634
ANN14,91,171,277,150,128,123,146,785
ANN15,253,128,857,433,322,309,263,749
ANN17,6,36,38,118,128,76,53,107
ANN18,116,52,219,255,178,246,150,390
ANN19,148,94,269,250,163,98,67,176
ANN20,60,26,90,22,12,34,14,169
ANN21,189,132,561,316,253,250,672,1437
ANN22,788,536,949,624,547,685,670,1143
ANN23,NA,NA,NA,14,9,18,11,15
ANN24,314,145,414,416,116,142,325,632
ANN25,189,80,292,174,81,85,118,508
ANN27,299,58,317,210,158,253,373,487
ANN29,220,489,635,337,225,207,402,1044
ANN30,11,46,37,202,120,40,235,134
ANN31,186,74,230,145,110,52,110,996
ANN32,489,854,798,529,448,401,385,1143
ANN33,320,366,880,634,387,375,389,1702
ANN34,1129,1176,888,NA,1182,630,1325,2463
ANN35,233,143,373,153,131,51,121,448
ANN36,31,288,115,700,470,217,711,575
ANN37,32,517,662,937,552,675,666,1153
ANN38,68,42,130,65,42,6,42,484
APGAR01,50,98,1083,550,575,379,690,715
ARBIT01,288,264,320,159,158,234,267,510
ARBIT02,12,2,149,95,153,103,137,120
ARBIT03,35,29,249,265,483,525,515,561
ARBIT04,727,267,681,374,411,531,482,1028
ARBIT05,NA,NA,NA,NA,NA,NA,NA,52
ATHEA02,1718,577,1202,644,494,458,1258,2194
BACKM03,22,7,1622,185,780,969,524,862
BACKM04,39,16,48,22,572,279,645,768
BACKM05,259,218,2084,377,955,862,738,1245
BELTA01,526,210,638,494,431,139,291,1631
BELTA02,79,107,171,74,41,121,114,206
BELTA03,67,60,379,325,118,170,102,90
BELTA04,829,682,1396,653,542,587,421,2201
BELTA08,1912,1534,1998,1040,575,538,1866,4345
BERGE01,770,894,2156,1480,1590,1773,2168,3470
BOUV01,31,0,199,84,214,28,215,472
BOUV02,620,85,6290,1630,1725,1160,1693,2074
BOUV03,66,19,517,413,803,258,1069,1592
BOUV09,429,1477,2968,613,749,507,1267,1413
BOWES01,746,334,1115,707,501,407,474,1180
BOWES02,957,261,1699,802,691,458,376,771
BOWES03,272,54,350,133,111,73,136,370
COCHR01,9,0,0,33,346,506,278,410
COOK01,12,17,86,133,103,169,112,191
COOK02,102,6,463,305,135,205,105,536
DOMAN01,0,0,408,360,468,423,471,1520
ELIOT01,881,876,1187,378,357,830,1729,2416
FERRA01,179,48,5171,2456,1330,1698,1147,2599
FOP04,489,331,666,456,329,171,1621,2496
FOP324,817,505,1583,1181,953,231,1241,3485
FOP333,848,869,474,440,313,52,792,2395
FOP340,110,50,39,137,152,58,218,199
FRIDE01,44,1,0,54,74,79,39,183
GANAY01,48,24,20,35,30,63,48,18
GANAY02,36,14,154,158,109,241,248,165
GARD01,0,0,0,0,494,401,434,646
HALOW02,742,572,1398,514,499,429,576,1945
HOOD01,691,145,4921,1545,1578,2370,1641,6485
HOOD02,42,13,518,NA,1599,1878,1261,1698
HOOD03,0,13,420,349,250,59,103,352
HOOD04,221,291,490,505,212,376,955,1341
HOOD05,214,170,345,411,688,270,692,1310
HOOD07,0,1,34,29,278,142,378,481
JLSP01,728,502,447,408,283,287,645,871
JLSP02,13,18,10,41,13,18,56,132
JLSP03,2745,1953,2505,1776,1219,1176,1925,4238
JLSP04,457,371,266,437,242,165,677,919
JLSP05,2097,1518,1519,1035,1068,1066,1892,2623
JLSP07,646,161,616,372,421,504,736,643
JLSP08,740,445,595,429,456,414,1065,1520
JLSP10,873,324,1112,702,575,656,1392,1965
JLSP13,431,233,222,118,139,168,695,745
JLSP14,652,286,420,256,193,282,410,578
JLSP15,645,467,1133,387,250,229,422,836
JLSP16,195,124,299,107,147,114,194,302
JLSP17,458,234,910,546,546,580,616,1233
JOHNS01,727,203,791,712,452,503,913,1975
JOHNS02,0,0,77,47,97,163,346,343
JROTH01,795,477,574,501,382,194,776,954
JROTH02,520,453,460,410,567,668,1276,836
JROTH03,668,640,362,970,606,1019,1173,1529
JROTH04,114,142,48,44,30,58,64,181
JROTH05,1181,1864,1641,1278,959,437,2448,4615
KLASS01,0,0,27,34,49,35,47,33
KLASS02,640,448,543,525,393,607,885,1626
KUNDE01,8,0,23,368,218,250,301,377
KUNDE02,6,7,55,233,176,28,140,158
KUNDE04,5,0,200,185,190,6,61,83
LARS01,0,0,20,80,836,456,417,564
LAZY04,388,512,2903,2247,2057,1691,2386,2137
LAZY05,1,2,0,57,71,61,128,79
LINS01,351,762,1849,773,818,686,576,1438
LUPIN01,548,457,530,205,217,251,260,1395
MACKI01,12,0,5,6,43,58,98,14
MCCOR01,708,427,239,100,91,110,242,1196
MCCOR05,16,58,257,145,141,65,189,244
MCNEIL03,0,10,0,0,20,411,159,476
MESCH01,847,444,1644,935,606,935,638,3063
MITSU01,617,1559,1221,935,564,664,3570,2311
MITSU02,99,58,110,66,71,40,250,266
MITSU03,632,262,934,654,425,227,1330,1822
MITSU04,9,79,141,139,140,53,543,454
MOREL01,92,40,294,612,383,397,461,408
MOREL02,142,0,196,359,200,359,138,111
MROTH01,680,529,1125,874,560,882,1945,2317
MROTH02,864,718,1119,872,565,461,466,2148
MUTTE01,136,73,938,712,1185,527,600,1247
MUTTE02,2102,1132,2100,1878,1751,1387,2369,3530
NELSO01,16,17,1,260,122,267,226,169
NELSO02,0,7,0,23,49,121,31,24
OTELL01,23,0,48,83,126,197,104,66
PARDI01,1567,1106,1852,734,640,385,625,2448
PARSO01,49,0,0,96,121,251,132,151
PETSN01,288,92,528,333,203,131,259,569
PFEND02,397,331,828,494,358,222,544,1528
PONTI02,1477,618,2878,1920,1467,1966,4821,3813
REDDE01,0,383,375,86,613,338,566,613
REDDE02,29,182,184,18,207,180,188,162
SAWI01,1064,488,1737,999,861,599,1644,1487
SCHIEK01,176,91,688,373,760,580,497,661
SDC01,912,664,632,371,264,369,397,1042
SDC02,1690,1124,1957,1179,788,961,1014,3243
SDC03,353,540,614,242,568,608,981,1233
SDC05,5,49,0,70,86,111,72,127
SDC06,43,28,0,98,130,108,319,140
SECRET01,2,0,0,130,62,51,5,6
SECRET02,20,24,30,269,289,277,324,244
SECRET03,24,17,5,167,395,235,89,335
SKILE01,355,190,1179,515,523,396,322,821
SPAUL01,3,7,663,487,407,337,676,441
SPAUL02,34,3,165,58,51,41,67,62
SPIVY01,1,0,160,250,209,257,333,476
STATE123,12,0,63,136,128,150,104,58
SUGAR01,25,4,3,233,213,279,312,147
SUGAR04,32,45,64,185,167,203,75,168
SUGAR05,34,69,237,247,124,35,192,136
SUGAR07,223,168,742,398,433,434,364,556
SUGAR08,NA,929,89,614,501,617,818,703
SUGAR09,14,13,279,206,228,231,135,162
SUGAR11,75,121,151,259,215,281,182,260
SUGAR12,5,21,640,429,321,315,455,391
SUGAR13,1401,609,1216,1084,572,556,598,2965
SUGAR15,432,750,1551,1094,802,934,761,1995
SUGAR16,1355,1117,2235,1106,747,667,1311,5944
SUGAR17,138,51,275,177,177,466,423,321
SUGAR18,650,367,1154,833,435,210,395,2022
SUGAR19,52,83,731,1044,726,547,1020,472
SUGAR21,267,173,825,1615,1191,969,844,1730
SUGAR23,28,13,12,72,76,24,236,238
SUGAR30,173,82,144,579,351,499,527,205
SUGAR31,276,263,720,557,620,881,596,1083
SUGAR32,43,7,19,293,217,89,224,277
SVRP02,10,37,5,64,58,93,68,71
TELL02,0,56,0,650,995,421,1530,1867
TELL04,0,23,0,64,140,30,100,218
TERRI02,729,590,856,592,320,225,533,2784
TERRI03,NA,NA,NA,NA,NA,NA,NA,34
VOTRU01,18,19,506,404,357,350,265,457
WATKI01,80,163,185,649,718,836,433,826
YAHNG01,37,27,283,107,187,173,840,178
YAHNG02,34,17,71,39,43,30,0,61
YAHNG03,386,129,593,581,477,433,1026,934
ZEN01,77,82,417,187,425,218,187,378
ZEN02,937,992,1842,543,948,708,631,912
