"","PlotID","acma","aeca","arcto sp.","arme","hear","prunus sp.","psme","quercus sp.","quga","sese","unknown sp. 1"
"1","ANN02",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"2","ANN04",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"3","ANN05",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"4","ANN07",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANN10",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"6","ANN11",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ANN13",NA,NA,NA,NA,NA,NA,2,NA,1,NA,2
"8","ANN14",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"9","ANN15",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"10","ANN18",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"11","ANN19",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"12","ANN20",NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
"13","ANN21",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"14","ANN23",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"15","ANN24",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"16","ANN25",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"17","ANN27",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"18","ANN29",NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA
"19","ANN30",NA,NA,NA,4,NA,NA,3,NA,1,NA,NA
"20","ANN31",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"21","ANN32",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"22","ANN33",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"23","ANN34",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"24","ANN35",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"25","ANN37",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"26","ANN38",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"27","APGAR01",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"28","ARBIT01",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ARBIT02",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"30","BACKM02",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"31","BACKM04",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"32","BADGE01",NA,NA,9,NA,NA,NA,NA,NA,3,NA,NA
"33","BELTA04",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"34","BERGE01",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"35","BOUV09",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"36","BOWES01",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"37","BOWES03",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","COOK02",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"39","GANAY01",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"40","GANAY02",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"41","GARD01",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"42","HALLO01",NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA
"43","HOOD01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"44","HOOD03",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"45","HOOD04",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","HOOD07",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"47","JLSP02",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"48","JLSP03",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"49","JLSP08",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"50","JLSP10",NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA
"51","JLSP13",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"52","JLSP14",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"53","JLSP16",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"54","JOHNS01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"55","JOHNS02",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"56","JROTH02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"57","LARS01",NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA
"58","MCCOR01",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2
"59","MCCOR02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"60","MITSU04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"61","MOREL01",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"62","MROTH03",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"63","MUTTE01",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"64","MUTTE02",NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA
"65","NELSO01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"66","PARDI01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"67","PETSN01",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"68","PHILL01",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"69","PHILL02",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"70","SCHIEK01",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"71","SCHIEK02",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"72","SDC01",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"73","SDC04",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"74","SDC05",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"75","SDC06",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"76","SECRET02",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"77","SECRET03",NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
"78","SPIVY01",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"79","SUGAR07",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"80","SUGAR08",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"81","SUGAR09",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"82","SUGAR11",NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"83","SUGAR12",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"84","SUGAR16",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"85","SUGAR17",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"86","SUGAR19",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"87","SUGAR30",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"88","SUGAR31",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"89","SUGAR32",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"90","TELL02",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"91","TELL03",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"92","WATKI01",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"93","ZEN01",NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
"94","ZEN02",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
